name, latitude, longitude, rank, score, private, religious, catholic, type
Roundhay School,53.829453,-1.514573,0.744186,69.000000,FALSE,FALSE,FALSE,Secondary
Otley Prince Henrys Grammar School,53.912341,-1.693802,0.720930,67.000000,FALSE,FALSE,FALSE,Secondary
The Morley Academy,53.742493,-1.607568,0.697674,66.000000,FALSE,FALSE,FALSE,Secondary
Cardinal Heenan Catholic High School,53.839484,-1.559468,0.674419,64.000000,FALSE,TRUE,TRUE,Secondary
Fulneck School,0.000000,0.000000,0.651163,63.000000,TRUE,FALSE,FALSE,Secondary
Benton Park School,53.857268,-1.683946,0.627907,63.000000,FALSE,FALSE,FALSE,Secondary
Allerton High School,53.850483,-1.552522,0.604651,62.000000,FALSE,FALSE,FALSE,Secondary
Temple Moor High School,53.796368,-1.461254,0.581395,58.000000,FALSE,FALSE,FALSE,Secondary
Rodillian Academy,53.730524,-1.504317,0.558140,58.000000,FALSE,FALSE,FALSE,Secondary
Crawshaw School,53.792889,-1.656562,0.534884,58.000000,FALSE,FALSE,FALSE,Secondary
Priesthorpe School,53.810701,-1.687351,0.511628,57.000000,FALSE,FALSE,FALSE,Secondary
Focus School Boston Spa,0.000000,0.000000,0.488372,56.000000,TRUE,FALSE,FALSE,Secondary
Brigshaw High School and Language College,53.757067,-1.381030,0.465116,56.000000,FALSE,FALSE,FALSE,Secondary
Pudsey Grangefield School,53.799387,-1.662251,0.441860,52.000000,FALSE,FALSE,FALSE,Secondary
Ralph Thoresby School,53.854615,-1.609205,0.418605,51.000000,FALSE,FALSE,FALSE,Secondary
Boston Spa School,53.899733,-1.361899,0.395349,50.000000,FALSE,FALSE,FALSE,Secondary
Corpus Christi Catholic College,53.796806,-1.485863,0.372093,49.000000,FALSE,TRUE,TRUE,Secondary
Royds School Specialist Language College,53.737199,-1.458605,0.348837,49.000000,FALSE,FALSE,FALSE,Secondary
Bruntcliffe School,53.745600,-1.619293,0.325581,48.000000,FALSE,FALSE,FALSE,Secondary
Leeds West Academy,53.814069,-1.654118,0.302326,48.000000,FALSE,FALSE,FALSE,Secondary
Lawnswood School,53.836154,-1.595189,0.279070,48.000000,FALSE,FALSE,FALSE,Secondary
Allerton Grange School,53.840862,-1.521022,0.255814,46.000000,FALSE,FALSE,FALSE,Secondary
